Step,Value
1,2.1700263023376465
2,1.9835758209228516
3,1.8147395849227905
4,1.64822256565094
5,1.483341097831726
6,1.3195263147354126
7,1.1700811386108398
8,1.0463064908981323
9,0.9474850296974182
10,0.8602070808410645
11,0.782774806022644
12,0.7149912118911743
13,0.6526187062263489
14,0.5988675355911255
15,0.5501297116279602
16,0.5077889561653137
17,0.471590518951416
18,0.4397954046726227
19,0.41208869218826294
20,0.39196738600730896
21,0.37344008684158325
22,0.3535769581794739
23,0.33839523792266846
24,0.32461002469062805
25,0.30903375148773193
26,0.3000340759754181
27,0.28598958253860474
28,0.2751411497592926
29,0.2643736004829407
30,0.25598418712615967
31,0.2492510825395584
32,0.2375233918428421
33,0.22743794322013855
34,0.2221672385931015
35,0.21535168588161469
36,0.2057766616344452
37,0.20020310580730438
38,0.19426944851875305
39,0.18749944865703583
40,0.18340881168842316
41,0.17598730325698853
42,0.17123764753341675
43,0.1677895486354828
44,0.16652722656726837
45,0.1609666794538498
46,0.15512923896312714
47,0.15289784967899323
48,0.14700402319431305
49,0.1419040709733963
50,0.1394660472869873
51,0.13504433631896973
52,0.13200178742408752
53,0.12965160608291626
54,0.12687596678733826
55,0.1246400699019432
56,0.12343461811542511
57,0.12012632936239243
58,0.1179199367761612
59,0.1184120923280716
60,0.11321382969617844
61,0.11231832206249237
62,0.11079847067594528
63,0.10883300006389618
64,0.10620957612991333
65,0.10419192165136337
66,0.10273575782775879
67,0.1021382138133049
68,0.09940771013498306
69,0.09869948029518127
70,0.0954430103302002
71,0.09350752085447311
72,0.09277753531932831
73,0.09187392890453339
74,0.0900580957531929
75,0.08816692233085632
76,0.08653707057237625
77,0.0850013941526413
78,0.0850784108042717
79,0.08353057503700256
80,0.08239942789077759
81,0.08227767050266266
82,0.0828937217593193
83,0.08020613342523575
84,0.07911801338195801
85,0.07754987478256226
86,0.07767229527235031
87,0.07616163045167923
88,0.07420381903648376
89,0.07311879843473434
90,0.07293792814016342
91,0.07247777283191681
92,0.07340554893016815
93,0.07288161665201187
94,0.07246711850166321
95,0.07864557206630707
96,0.08912921696901321
97,0.10629540681838989
98,0.1474713832139969
99,0.13986840844154358
100,0.13064557313919067
